: error 482.133671, percentage 3.44%
Classifier[24] iteration 4106: error 482.131341, percentage 3.44%
Classifier[24] iteration 4107: error 482.129013, percentage 3.44%
Classifier[24] iteration 4108: error 482.126687, percentage 3.44%
Classifier[24] iteration 4109: error 482.124363, percentage 3.44%
Classifier[24] iteration 4110: error 482.122040, percentage 3.44%
Classifier[24] iteration 4111: error 482.119720, percentage 3.44%
Classifier[24] iteration 4112: error 482.117401, percentage 3.44%
Classifier[24] iteration 4113: error 482.115084, percentage 3.44%
Classifier[24] iteration 4114: error 482.112768, percentage 3.44%
Classifier[24] iteration 4115: error 482.110455, percentage 3.44%
Classifier[24] iteration 4116: error 482.108143, percentage 3.44%
Classifier[24] iteration 4117: error 482.105833, percentage 3.44%
Classifier[24] iteration 4118: error 482.103524, percentage 3.44%
Classifier[24] iteration 4119: error 482.101218, percentage 3.44%
Classifier[24] iteration 4120: error 482.098913, percentage 3.44%
Classifier[24] iteration 4121: error 482.096610, percentage 3.44%
Classifier[24] iteration 4122: error 482.094309, percentage 3.44%
Classifier[24] iteration 4123: error 482.092009, percentage 3.44%
Classifier[24] iteration 4124: error 482.089712, percentage 3.44%
Classifier[24] iteration 4125: error 482.087416, percentage 3.44%
Classifier[24] iteration 4126: error 482.085121, percentage 3.44%
Classifier[24] iteration 4127: error 482.082829, percentage 3.44%
Classifier[24] iteration 4128: error 482.080538, percentage 3.44%
Classifier[24] iteration 4129: error 482.078249, percentage 3.44%
Classifier[24] iteration 4130: error 482.075962, percentage 3.44%
Classifier[24] iteration 4131: error 482.073677, percentage 3.44%
Classifier[24] iteration 4132: error 482.071393, percentage 3.44%
Classifier[24] iteration 4133: error 482.069111, percentage 3.44%
Classifier[24] iteration 4134: error 482.066831, percentage 3.44%
Classifier[24] iteration 4135: error 482.064552, percentage 3.44%
Classifier[24] iteration 4136: error 482.062275, percentage 3.44%
Classifier[24] iteration 4137: error 482.060000, percentage 3.44%
Classifier[24] iteration 4138: error 482.057727, percentage 3.44%
Classifier[24] iteration 4139: error 482.055456, percentage 3.44%
Classifier[24] iteration 4140: error 482.053186, percentage 3.44%
Classifier[24] iteration 4141: error 482.050918, percentage 3.44%
Classifier[24] iteration 4142: error 482.048651, percentage 3.44%
Classifier[24] iteration 4143: error 482.046387, percentage 3.44%
Classifier[24] iteration 4144: error 482.044124, percentage 3.44%
Classifier[24] iteration 4145: error 482.041863, percentage 3.44%
Classifier[24] iteration 4146: error 482.039603, percentage 3.44%
Classifier[24] iteration 4147: error 482.037346, percentage 3.44%
Classifier[24] iteration 4148: error 482.035090, percentage 3.44%
Classifier[24] iteration 4149: error 482.032835, percentage 3.44%
Classifier[24] iteration 4150: error 482.030583, percentage 3.44%
Classifier[24] iteration 4151: error 482.028332, percentage 3.44%
Classifier[24] iteration 4152: error 482.026083, percentage 3.44%
Classifier[24] iteration 4153: error 482.023835, percentage 3.44%
Classifier[24] iteration 4154: error 482.021590, percentage 3.44%
Classifier[24] iteration 4155: error 482.019346, percentage 3.44%
Classifier[24] iteration 4156: error 482.017104, percentage 3.44%
Classifier[24] iteration 4157: error 482.014863, percentage 3.44%
Classifier[24] iteration 4158: error 482.012624, percentage 3.44%
Classifier[24] iteration 4159: error 482.010387, percentage 3.44%
Classifier[24] iteration 4160: error 482.008152, percentage 3.44%
Classifier[24] iteration 4161: error 482.005918, percentage 3.44%
Classifier[24] iteration 4162: error 482.003686, percentage 3.44%
Classifier[24] iteration 4163: error 482.001456, percentage 3.44%
Classifier[24] iteration 4164: error 481.999227, percentage 3.44%
