 5.48%
Classifier[13] iteration 840: error1 9360.633396, error2 767.473557, percentage 5.48%
Classifier[13] iteration 841: error1 9360.604303, error2 767.433100, percentage 5.48%
Classifier[13] iteration 842: error1 9360.575273, error2 767.392730, percentage 5.48%
Classifier[13] iteration 843: error1 9360.546305, error2 767.352445, percentage 5.48%
Classifier[13] iteration 844: error1 9360.517398, error2 767.312246, percentage 5.48%
Classifier[13] iteration 845: error1 9360.488554, error2 767.272133, percentage 5.48%
Classifier[13] iteration 846: error1 9360.459771, error2 767.232104, percentage 5.48%
Classifier[13] iteration 847: error1 9360.431049, error2 767.192161, percentage 5.48%
Classifier[13] iteration 848: error1 9360.402389, error2 767.152303, percentage 5.48%
Classifier[13] iteration 849: error1 9360.373789, error2 767.112528, percentage 5.48%
Classifier[13] iteration 850: error1 9360.345251, error2 767.072838, percentage 5.48%
Classifier[13] iteration 851: error1 9360.316773, error2 767.033232, percentage 5.48%
Classifier[13] iteration 852: error1 9360.288356, error2 766.993710, percentage 5.48%
Classifier[13] iteration 853: error1 9360.259998, error2 766.954271, percentage 5.48%
Classifier[13] iteration 854: error1 9360.231702, error2 766.914915, percentage 5.48%
Classifier[13] iteration 855: error1 9360.203465, error2 766.875642, percentage 5.48%
Classifier[13] iteration 856: error1 9360.175287, error2 766.836452, percentage 5.48%
Classifier[13] iteration 857: error1 9360.147170, error2 766.797345, percentage 5.48%
Classifier[13] iteration 858: error1 9360.119112, error2 766.758319, percentage 5.48%
Classifier[13] iteration 859: error1 9360.091113, error2 766.719376, percentage 5.48%
Classifier[13] iteration 860: error1 9360.063173, error2 766.680514, percentage 5.48%
Classifier[13] iteration 861: error1 9360.035292, error2 766.641734, percentage 5.48%
Classifier[13] iteration 862: error1 9360.007470, error2 766.603035, percentage 5.48%
Classifier[13] iteration 863: error1 9359.979706, error2 766.564417, percentage 5.48%
Classifier[13] iteration 864: error1 9359.952001, error2 766.525880, percentage 5.48%
Classifier[13] iteration 865: error1 9359.924354, error2 766.487424, percentage 5.47%
Classifier[13] iteration 866: error1 9359.896765, error2 766.449047, percentage 5.47%
Classifier[13] iteration 867: error1 9359.869234, error2 766.410751, percentage 5.47%
Classifier[13] iteration 868: error1 9359.841760, error2 766.372535, percentage 5.47%
Classifier[13] iteration 869: error1 9359.814344, error2 766.334398, percentage 5.47%
Classifier[13] iteration 870: error1 9359.786986, error2 766.296341, percentage 5.47%
Classifier[13] iteration 871: error1 9359.759685, error2 766.258363, percentage 5.47%
Classifier[13] iteration 872: error1 9359.732440, error2 766.220464, percentage 5.47%
Classifier[13] iteration 873: error1 9359.705253, error2 766.182644, percentage 5.47%
Classifier[13] iteration 874: error1 9359.678122, error2 766.144902, percentage 5.47%
Classifier[13] iteration 875: error1 9359.651048, error2 766.107239, percentage 5.47%
Classifier[13] iteration 876: error1 9359.624031, error2 766.069653, percentage 5.47%
Classifier[13] iteration 877: error1 9359.597069, error2 766.032145, percentage 5.47%
Classifier[13] iteration 878: error1 9359.570164, error2 765.994715, percentage 5.47%
Classifier[13] iteration 879: error1 9359.543314, error2 765.957362, percentage 5.47%
Classifier[13] iteration 880: error1 9359.516520, error2 765.920087, percentage 5.47%
Classifier[13] iteration 881: error1 9359.489782, error2 765.882888, percentage 5.47%
Classifier[13] iteration 882: error1 9359.463099, error2 765.845766, percentage 5.47%
Classifier[13] iteration 883: error1 9359.436472, error2 765.808721, percentage 5.47%
Classifier[13] iteration 884: error1 9359.409899, error2 765.771752, percentage 5.47%
Classifier[13] iteration 885: error1 9359.383382, error2 765.734859, percentage 5.47%
Classifier[13] iteration 886: error1 9359.356919, error2 765.698041, percentage 5.47%
Classifier[13] iteration 887: error1 9359.330511, error2 765.661300, percentage 5.47%
Classifier[13] iteration 888: error1 9359.304157, error2 765.624633, percentage 5.47%
Classifier[13] iteration 889: error1 9359.277858, error2 765.588042, percentage 5.47%
Classifier[13] iteration 890: error1 9359.251613, error2 765.551526, percentage 5.47%
Classifier[13] iteration 891: error1 9359.225422, error2 765.515085, percentage 5.47%
Classifier[13] iteration 892: error1 9359.199285, error2 765.478718, percentage 5.47%
Classifier[13] iteration 893: error1 9359.173201, error2 765.442426, percentage 5.47%
Classifier[13] iteration 894: error1 9359.147171, error2 765.406208, percentage 5.47%
Classifier[13] iteration 895: error1 9359.121194, error2 765.370064, percentage 5.47%
Classifier[13] iteration 896: error1 9359.095271, error2 765.333993, percentage 5.47%
Classifier[13] iteration 897: error1 9359.069401, error2 765.297996, percentage 5.47%
Classifier[13] iteration 898: error1 9359.043583, error2 765.262072, percentage 5.47%
Classifier[13] iteration 899: error1 9359.017819, error2 765.226222, percentage 5.47%
Classifier[13] iteration 900: error1 9358.992107, error2 765.190444, percentage 5.47%
Classifier[13] iteration 901: error1 9358.966448, error2 765.154739, percentage 5.47%
Classifier[13] iteration 902: error1 9358.940841, error2 765.119106, percentage 5.47%
Classifier[13] iteration 903: error1 9358.915286, error2 765.083546, percentage 5.46%
Classifier[13] iteration 904: error1 9358.889783, error2 765.048058, percentage 5.46%
Classifier[13] iteration 905: error1 9358.864332, error2 765.012642, percentage 5.46%
Classifier[13] iteration 906: error1 9358.838933, error2 764.977297, percentage 5.46%
Classifier[13] iteration 907: error1 9358.813586, error2 764.942024, percentage 5.46%
Classifier[13] iteration 908: error1 9358.788290, error2 764.906822, percentage 5.46%
Classifier[13] iteration 909: error1 9358.763045, error2 764.871691, percentage 5.46%
Classifier[13] iteration 910: error1 9358.737851, error2 764.836632, percentage 5.46%
Classifier[13] iteration 911: error1 9358.712709, error2 764.801643, percentage 5.46%
Classifier[13] iteration 912: error1 9358.687617, error2 764.766724, percentage 5.46%
Classifier[13] iteration 913: error1 9358.662577, error2 764.731876, percentage 5.46%
Classifier[13] iteration 914: error1 9358.637587, error2 764.697097, percentage 5.46%
Classifier[13] iteration 915: error1 9358.612647, error2 764.662389, percentage 5.46%
Classifier[13] iteration 916: error1 9358.587758, error2 764.627751, percentage 5.46%
Classifier[13] iteration 917: error1 9358.562918, error2 764.593182, percentage 5.46%
Classifier[13] iteration 918: error1 9358.538129, error2 764.558682, percentage 5.46%
Classifier[13] iteration 919: error1 9358.513390, error2 764.524251, percentage 5.46%
Classifier[13] iteration 920: error1 9358.488701, error2 764.489890, percentage 5.46%
Classifier[13] iteration 921: error1 9358.464061, error2 764.455597, percentage 5.46%
Classifier[13] iteration 922: error1 9358.439471, error2 764.421373, percentage 5.46%
Classifier[13] iteration 923: error1 9358.414930, error2 764.387217, percentage 5.46%
Classifier[13] iteration 924: error1 9358.390439, error2 764.353129, percentage 5.46%
Classifier[13] iteration 925: error1 9358.365996, error2 764.319110, percentage 5.46%
Classifier[13] iteration 926: error1 9358.341603, error2 764.285158, percentage 5.46%
Classifier[13] iteration 927: error1 9358.317258, error2 764.251274, percentage 5.46%
Classifier[13] iteration 928: error1 9358.292962, error2 764.217457, percentage 5.46%
Classifier[13] iteration 929: error1 9358.268715, error2 764.183708, percentage 5.46%
Classifier[13] iteration 930: error1 9358.244516, error2 764.150025, percentage 5.46%
Classifier[13] iteration 931: error1 9358.220365, error2 764.116410, percentage 5.46%
Classifier[13] iteration 932: error1 9358.196262, error2 764.082861, percentage 5.46%
Classifier[13] iteration 933: error1 9358.172208, error2 764.049379, percentage 5.46%
Classifier[13] iteration 934: error1 9358.148201, error2 764.015963, percentage 5.46%
Classifier[13] iteration 935: error1 9358.124242, error2 763.982614, percentage 5.46%
Classifier[13] iteration 936: error1 9358.100331, error2 763.949330, percentage 5.46%
Classifier[13] iteration 937: error1 9358.076468, error2 763.916113, percentage 5.46%
Classifier[13] iteration 938: error1 9358.052651, error2 763.882960, percentage 5.46%
Classifier[13] iteration 939: error1 9358.028882, error2 763.849874, percentage 5.46%
Classifier[13] iteration 940: error1 9358.005160, error2 763.816853, percentage 5.46%
Classifier[13] iteration 941: error1 9357.981486, error2 763.783896, percentage 5.46%
Classifier[13] iteration 942: error1 9357.957858, error2 763.751005, percentage 5.46%
Classifier[13] iteration 943: error1 9357.934276, error2 763.718179, percentage 5.46%
Classifier[13] iteration 944: error1 9357.910742, error2 763.685417, percentage 5.45%
Classifier[13] iteration 945: error1 9357.887254, error2 763.652720, percentage 5.45%
Classifier[13] iteration 946: error1 9357.863812, error2 763.620086, percentage 5.45%
Classifier[13] iteration 947: error1 9357.840416, error2 763.587517, percentage 5.45%
Classifier[13] iteration 948: error1 9357.817067, error2 763.555012, percentage 5.45%
Classifier[13] iteration 949: error1 9357.793763, error2 763.522571, percentage 5.45%
Classifier[13] iteration 950: error1 9357.770506, error2 763.490193, percentage 5.45%
Classifier[13] iteration 951: error1 9357.747294, error2 763.457878, percentage 5.45%
Classifier[13] iteration 952: error1 9357.724128, error2 763.425627, percentage 5.45%
Classifier[13] iteration 953: error1 9357.701007, error2 763.393439, percentage 5.45%
Classifier[13] iteration 954: error1 9357.677932, error2 763.361314, percentage 5.45%
Classifier[13] iteration 955: error1 9357.654902, error2 763.329251, percentage 5.45%
Classifier[13] iteration 956: error1 9357.631917, error2 763.297251, percentage 5.45%
Classifier[13] iteration 957: error1 9357.608977, error2 763.265313, percentage 5.45%
Classifier[13] iteration 958: error1 9357.586082, error2 763.233438, percentage 5.45%
Classifier[13] iteration 959: error1 9357.563232, error2 763.201624, percentage 5.45%
Classifier[13] iteration 960: error1 9357.540426, error2 763.169873, percentage 5.45%
Classifier[13] iteration 961: error1 9357.517665, error2 763.138183, percentage 5.45%
Classifier[13] iteration 962: error1 9357.494948, error2 763.106555, percentage 5.45%
Classifier[13] iteration 963: error1 9357.472276, error2 763.074988, percentage 5.45%
Classifier[13] iteration 964: error1 9357.449648, error2 763.043483, percentage 5.45%
Classifier[13] iteration 965: error1 9357.427064, error2 763.012038, percentage 5.45%
Classifier[13] iteration 966: error1 9357.404524, error2 762.980655, percentage 5.45%
Classifier[13] iteration 967: error1 9357.382028, error2 762.949332, percentage 5.45%
Classifier[13] iteration 968: error1 9357.359575, error2 762.918070, percentage 5.45%
Classifier[13] iteration 969: error1 9357.337166, error2 762.886868, percentage 5.45%
Classifier[13] iteration 970: error1 9357.314801, error2 762.855727, percentage 5.45%
Classifier[13] iteration 971: error1 9357.292478, error2 762.824646, percentage 5.45%
Classifier[13] iteration 972: error1 9357.270200, error2 762.793624, percentage 5.45%
Classifier[13] iteration 973: error1 9357.247964, error2 762.762663, percentage 5.45%
Classifier[13] iteration 974: error1 9357.225771, error2 762.731761, percentage 5.45%
Classifier[13] iteration 975: error1 9357.203621, error2 762.700918, percentage 5.45%
Classifier[13] iteration 976: error1 9357.181515, error2 762.670135, percentage 5.45%
Classifier[13] iteration 977: error1 9357.159450, error2 762.639412, percentage 5.45%
Classifier[13] iteration 978: error1 9357.137429, error2 762.608747, percentage 5.45%
Classifier[13] iteration 979: error1 9357.115449, error2 762.578141, percentage 5.45%
Classifier[13] iteration 980: error1 9357.093513, error2 762.547594, percentage 5.45%
Classifier[13] iteration 981: error1 9357.071618, error2 762.517105, percentage 5.45%
Classifier[13] iteration 982: error1 9357.049765, error2 762.486675, percentage 5.45%
Classifier[13] iteration 983: error1 9357.027955, error2 762.456303, percentage 5.45%
